,vid_id,action_idxs,action_idxs_counter,action_idxs_len,activities_idx,activities_counter,activities_len,action_idxs_prob,activities_prob
0,0,"[12, 6, 6, 12, 12, 13, 13, 12, 15, 15, 12, 9, 12, 15, 0, 0, 6, 6, 0, 0]",62,172,"[13, 13, 15, 15, 12, 9, 12]",16,74,36.05,21.62
1,1,"[7, 7, 1, 14, 1, 14, 14, 14, 14, 1, 5, 5, 13, 14, 1, 5, 5, 5]",65,170,"[14, 14, 1, 5, 5, 5, 5]",39,76,38.24,51.32
2,2,"[6, 13, 2, 13, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",90,209,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",50,92,43.06,54.35
3,3,"[12, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3, 3]",53,185,"[3, 3, 3, 3, 3]",20,76,28.65,26.32
4,4,"[13, 13, 15, 9, 15, 9, 13, 13, 4, 13, 13, 13, 13, 13, 13, 12, 13, 13, 13, 1]",53,164,"[13, 13, 15, 13, 13, 13, 13, 13, 13, 13]",34,75,32.32,45.33
5,5,"[9, 5, 6, 5, 6, 5, 5, 5, 6, 5, 6, 6, 6, 6, 6]",114,188,"[5, 6, 5, 5, 6, 6]",72,96,60.64,75.0
6,6,"[4, 4, 6, 12, 12, 12, 12, 6, 6, 6, 6, 6, 6, 12, 6]",60,189,"[4, 6, 12, 6, 6, 6]",31,74,31.75,41.89
7,7,"[7, 7, 7, 7, 12, 7, 12, 12, 7, 7, 7, 7, 7, 7, 7]",63,157,"[7, 7, 7, 7, 7]",36,67,40.13,53.73
8,8,"[8, 8, 8, 8, 6, 8, 0, 6, 8, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 12]",71,191,"[13, 13, 13, 13, 13, 13, 13, 13, 13, 13, 12]",39,93,37.17,41.94
9,9,"[9, 15, 15, 9, 9, 9, 9, 15, 9, 9, 9, 15, 9, 9, 13]",125,163,"[9, 15, 9, 9, 9, 9, 9, 9]",87,98,76.69,88.78
10,10,"[9, 9, 9, 9, 9, 9, 13, 13, 9, 9, 9, 9, 14, 13]",10,153,"[9, 9, 9, 9, 9]",5,96,6.54,5.21
11,11,"[12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12, 12]",6,178,"[12, 12, 12, 12, 12, 12, 12, 12, 12]",1,91,3.37,1.1
12,12,"[12, 15, 12, 12, 15, 15, 15, 12, 12, 12, 12, 15, 12, 12, 12]",101,152,"[12, 15, 12, 12, 12, 12, 12, 12]",57,74,66.45,77.03
13,13,"[13, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 1, 14, 14, 14]",34,148,"[14, 14, 14, 14, 14, 14, 14, 14, 14, 14, 1, 14]",17,74,22.97,22.97
14,14,"[15, 12, 14, 6, 14, 6, 6, 0, 6, 6, 6, 6, 6, 6, 6]",70,174,"[15, 14, 6]",34,60,40.23,56.67
15,15,"[0, 13, 12, 12, 0, 12, 12, 12, 0, 6, 12, 12, 12, 12, 12, 12, 12, 15, 12, 12, 12, 12]",59,186,"[12, 12, 12, 12, 12, 12, 15, 12, 12, 12]",40,76,31.72,52.63
